Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
CRIMINAL MISCHIEF,N,2020-01-09,SPECIALTY  STORE,78745,30.17464907,-97.78428068
CRIMINAL MISCHIEF,N,2021-01-12,RESIDENCE / HOME,78751,30.30161973,-97.7333448
CRIMINAL MISCHIEF,N,2021-06-12,BAR / NIGHTCLUB,78748,30.17345309,-97.82593698
THEFT,N,2020-11-26,RESIDENCE / HOME,78757,30.34490097,-97.74471341
BURGLARY OF VEHICLE,N,2020-04-21,OTHER / UNKNOWN,78753,30.38491069,-97.67599459
THEFT,N,2019-07-14,GROCERY / SUPERMARKET,78723,30.30178349,-97.69866762
FAMILY DISTURBANCE,N,2020-10-28,RESIDENCE / HOME,78723,30.30981328,-97.68060169
THEFT,N,2019-12-29,DEPARTMENT / DISCOUNT STORE,78753,30.33915243,-97.69116575
BURGLARY OF VEHICLE,N,2021-11-11,HOTEL / MOTEL / ETC.,78741,30.21347737,-97.70547797
THEFT,N,2019-04-20,RESIDENCE / HOME,78729,30.44443477,-97.77523664
FAMILY DISTURBANCE,N,2019-09-27,RESIDENCE / HOME,78745,30.19084407,-97.77786025
BURGLARY OF VEHICLE,N,2019-11-23,RESIDENCE / HOME,78731,30.34922301,-97.75501476
FAMILY DISTURBANCE,N,2021-08-23,RESIDENCE / HOME,78745,30.20981961,-97.78634187
BURGLARY OF VEHICLE,N,2021-03-19,PARKING /DROP LOT/ GARAGE,78701,30.26020456,-97.73793249
FAMILY DISTURBANCE,N,2019-04-13,PARKING /DROP LOT/ GARAGE,78741,30.23422117,-97.72043394
THEFT,N,2019-05-08,SPECIALTY  STORE,78757,30.37067212,-97.72572299
BURGLARY OF VEHICLE,N,2020-11-13,RESIDENCE / HOME,78751,30.31300008,-97.73304451
BURGLARY OF VEHICLE,N,2021-05-11,PARKING /DROP LOT/ GARAGE,78705,30.28842038,-97.74746098
THEFT,N,2020-10-17,RESIDENCE / HOME,78741,30.22706771,-97.72624606
THEFT,N,2019-08-15,COMMERCIAL / OFFICE BUILDING,78749,30.21577256,-97.82978492
FAMILY DISTURBANCE,N,2019-04-07,RESIDENCE / HOME,78744,30.19474121,-97.75822865
FAMILY DISTURBANCE,N,2019-10-06,RESIDENCE / HOME,78752,30.33555169,-97.69595077
CRIMINAL MISCHIEF,N,2019-11-03,RESIDENCE / HOME,78753,30.39295402,-97.67684845
THEFT,N,2019-04-13,RESIDENCE / HOME,78727,30.41172503,-97.6821478
BURGLARY OF VEHICLE,N,2020-06-24,PARKING /DROP LOT/ GARAGE,78701,30.26809089,-97.75173802
FAMILY DISTURBANCE,N,2019-10-29,RESIDENCE / HOME,78748,30.17766988,-97.84047433
THEFT,N,2020-06-25,RESIDENCE / HOME,78704,30.22979266,-97.76679584
BURGLARY OF VEHICLE,N,2020-09-30,PARKING /DROP LOT/ GARAGE,78731,30.32104847,-97.77354003
